""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
CRR190772	P5	CRR190772	Control	Chuang et al., 2049	Benzimidazole	14	2
CRR190773	P5	CRR190773	Control	Chuang et al., 2050	Benzimidazole	14	2
CRR190774	P5	CRR190774	Treated	Chuang et al., 2051	Benzimidazole	14	2
CRR190776	P5	CRR190776	Treated	Chuang et al., 2053	Benzimidazole	14	2
CRR190777	P5	CRR190777	Treated	Chuang et al., 2054	Benzimidazole	14	2
CRR190778	P5	CRR190778	Treated	Chuang et al., 2055	Benzimidazole	14	2
CRR190779	P5	CRR190779	Treated	Chuang et al., 2056	Benzimidazole	14	2
CRR190780	P5	CRR190780	Treated	Chuang et al., 2057	Benzimidazole	14	2
CRR190781	P5	CRR190781	Treated	Chuang et al., 2058	Benzimidazole	14	2
CRR190782	P5	CRR190782	Treated	Chuang et al., 2059	Benzimidazole	14	2
CRR190783	P5	CRR190783	Treated	Chuang et al., 2060	Benzimidazole	14	2
CRR190784	P5	CRR190784	Treated	Chuang et al., 2061	Benzimidazole	14	2
CRR190785	P5	CRR190785	Treated	Chuang et al., 2062	Benzimidazole	14	2
