""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
SRR14244417	P3	SRR14244417	Treated	Ezazi et al., 2055	Benzimidazole + Dicarboximide	45	2
SRR14244419	P3	SRR14244419	Treated	Ezazi et al., 2030	Benzimidazole + Dicarboximide	45	2
SRR14244420	P3	SRR14244420	Treated	Ezazi et al., 2044	Benzimidazole + Dicarboximide	45	2
SRR14244421	P3	SRR14244421	Treated	Ezazi et al., 2045	Benzimidazole + Dicarboximide	45	2
SRR14244423	P3	SRR14244423	Treated	Ezazi et al., 2046	Benzimidazole + Dicarboximide	45	2
SRR14244424	P3	SRR14244424	Treated	Ezazi et al., 2032	Benzimidazole + Dicarboximide	45	2
SRR14244425	P3	SRR14244425	Control	Ezazi et al., 2056	Benzimidazole + Dicarboximide	45	2
SRR14244426	P3	SRR14244426	Control	Ezazi et al., 2047	Benzimidazole + Dicarboximide	45	2
SRR22014440	P4	SRR22014440	Treated	Sim et al., 2103	Triazole	45	2
SRR22014441	P4	SRR22014441	Treated	Sim et al., 2118	Triazole	45	2
SRR22014442	P4	SRR22014442	Treated	Sim et al., 2111	Triazole	45	2
SRR22014443	P4	SRR22014443	Control	Sim et al., 2073	Triazole	45	2
SRR22014444	P4	SRR22014444	Control	Sim et al., 2088	Triazole	45	2
SRR22014445	P4	SRR22014445	Control	Sim et al., 2081	Triazole	45	2
SRR22014446	P4	SRR22014446	Control	Sim et al., 2049	Triazole	45	2
SRR22014447	P4	SRR22014447	Control	Sim et al., 2064	Triazole	45	2
SRR22014449	P4	SRR22014449	Control	Sim et al., 2057	Triazole	45	2
SRR22014450	P4	SRR22014450	Control	Sim et al., 2025	Triazole	45	2
SRR22014451	P4	SRR22014451	Control	Sim et al., 2040	Triazole	45	2
SRR22014452	P4	SRR22014452	Control	Sim et al., 2033	Triazole	45	2
SRR22014463	P4	SRR22014463	Control	Sim et al., 2059	Triazole	45	2
SRR22014464	P4	SRR22014464	Control	Sim et al., 2061	Triazole	45	2
SRR22014465	P4	SRR22014465	Control	Sim et al., 2026	Triazole	45	2
SRR22014466	P4	SRR22014466	Control	Sim et al., 2035	Triazole	45	2
SRR22014467	P4	SRR22014467	Control	Sim et al., 2037	Triazole	45	2
SRR22014478	P4	SRR22014478	Treated	Sim et al., 2251	Triazole	45	2
SRR22014480	P4	SRR22014480	Treated	Sim et al., 2247	Triazole	45	2
SRR22014481	P4	SRR22014481	Treated	Sim et al., 2240	Triazole	45	2
SRR22014482	P4	SRR22014482	Treated	Sim et al., 2225	Triazole	45	2
SRR22014483	P4	SRR22014483	Treated	Sim et al., 2221	Triazole	45	2
SRR22014484	P4	SRR22014484	Treated	Sim et al., 2214	Triazole	45	2
SRR22014485	P4	SRR22014485	Treated	Sim et al., 2199	Triazole	45	2
SRR22014486	P4	SRR22014486	Treated	Sim et al., 2195	Triazole	45	2
SRR22014487	P4	SRR22014487	Treated	Sim et al., 2188	Triazole	45	2
SRR22014488	P4	SRR22014488	Treated	Sim et al., 2173	Triazole	45	2
SRR22014489	P4	SRR22014489	Treated	Sim et al., 2169	Triazole	45	2
SRR22014492	P4	SRR22014492	Treated	Sim et al., 2162	Triazole	45	2
SRR22014493	P4	SRR22014493	Treated	Sim et al., 2147	Triazole	45	2
SRR22014494	P4	SRR22014494	Treated	Sim et al., 2143	Triazole	45	2
SRR22014495	P4	SRR22014495	Treated	Sim et al., 2136	Triazole	45	2
SRR22014496	P4	SRR22014496	Treated	Sim et al., 2121	Triazole	45	2
SRR22014497	P4	SRR22014497	Treated	Sim et al., 2117	Triazole	45	2
SRR22014498	P4	SRR22014498	Treated	Sim et al., 2110	Triazole	45	2
SRR22014499	P4	SRR22014499	Control	Sim et al., 2091	Triazole	45	2
SRR22014500	P4	SRR22014500	Control	Sim et al., 2087	Triazole	45	2
SRR22014501	P4	SRR22014501	Control	Sim et al., 2080	Triazole	45	2
SRR22014504	P4	SRR22014504	Control	Sim et al., 2063	Triazole	45	2
SRR22014505	P4	SRR22014505	Control	Sim et al., 2056	Triazole	45	2
SRR22014506	P4	SRR22014506	Control	Sim et al., 2043	Triazole	45	2
SRR22014507	P4	SRR22014507	Control	Sim et al., 2039	Triazole	45	2
SRR22014508	P4	SRR22014508	Control	Sim et al., 2032	Triazole	45	2
