SampleID	Shannon	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose	Type
SRR18767325	6.93464544458007	project2	SRR18767325	Treated	Wang et al., 2073	Thiadiazole	19	7.7	ITS
SRR18767326	7.30874020095698	project2	SRR18767326	Treated	Wang et al., 2088	Thiadiazole	19	7.7	ITS
SRR18767327	6.96922785416758	project2	SRR18767327	Treated	Wang et al., 2072	Thiadiazole	19	7.7	ITS
SRR18767328	6.86292648532927	project2	SRR18767328	Treated	Wang et al., 2087	Thiadiazole	19	7.7	ITS
SRR18767329	7.30619763287926	project2	SRR18767329	Treated	Wang et al., 2071	Thiadiazole	19	7.7	ITS
SRR18767330	7.30628191562053	project2	SRR18767330	Treated	Wang et al., 2086	Thiadiazole	19	7.7	ITS
SRR18767331	7.19085774330085	project2	SRR18767331	Treated	Wang et al., 2070	Thiadiazole	19	7.7	ITS
SRR18767332	7.06592520122222	project2	SRR18767332	Control	Wang et al., 2031	Thiadiazole	19	7.7	ITS
SRR18767343	6.79267807930668	project2	SRR18767343	Control	Wang et al., 2030	Thiadiazole	19	7.7	ITS
SRR18767380	6.98252007144743	project2	SRR18767380	Control	Wang et al., 2027	Thiadiazole	19	7.7	ITS
SRR18767386	6.90389441500363	project2	SRR18767386	Treated	Wang et al., 2077	Thiadiazole	19	7.7	ITS
SRR18767387	7.11996405480995	project2	SRR18767387	Treated	Wang et al., 2092	Thiadiazole	19	7.7	ITS
SRR18767388	7.15189841324386	project2	SRR18767388	Treated	Wang et al., 2076	Thiadiazole	19	7.7	ITS
SRR18767389	7.11847719607435	project2	SRR18767389	Treated	Wang et al., 2091	Thiadiazole	19	7.7	ITS
SRR18767390	6.78735118688148	project2	SRR18767390	Treated	Wang et al., 2075	Thiadiazole	19	7.7	ITS
SRR18767391	6.83641227361322	project2	SRR18767391	Treated	Wang et al., 2090	Thiadiazole	19	7.7	ITS
SRR18767392	6.90434915304772	project2	SRR18767392	Treated	Wang et al., 2074	Thiadiazole	19	7.7	ITS
SRR18767395	6.91600906844895	project2	SRR18767395	Control	Wang et al., 2023	Thiadiazole	19	7.7	ITS
SRR18767406	6.53744323704121	project2	SRR18767406	Control	Wang et al., 2033	Thiadiazole	19	7.7	ITS
SRR18767435	6.82668195432896	project2	SRR18767435	Control	Wang et al., 2065	Thiadiazole	19	7.7	ITS
SRR18767436	6.52557306105653	project2	SRR18767436	Control	Wang et al., 2064	Thiadiazole	19	7.7	ITS
SRR18767437	6.48434963743164	project2	SRR18767437	Control	Wang et al., 2063	Thiadiazole	19	7.7	ITS
SRR18767438	6.89731907083691	project2	SRR18767438	Control	Wang et al., 2062	Thiadiazole	19	7.7	ITS
SRR18767439	6.96650136008059	project2	SRR18767439	Control	Wang et al., 2061	Thiadiazole	19	7.7	ITS
SRR18767440	6.58220302778792	project2	SRR18767440	Control	Wang et al., 2060	Thiadiazole	19	7.7	ITS
SRR18767441	6.54542855318201	project2	SRR18767441	Control	Wang et al., 2059	Thiadiazole	19	7.7	ITS
SRR18767442	7.0523764628498	project2	SRR18767442	Control	Wang et al., 2058	Thiadiazole	19	7.7	ITS
SRR18767443	6.89212019165066	project2	SRR18767443	Treated	Wang et al., 2097	Thiadiazole	19	7.7	ITS
SRR18767444	6.97064906173592	project2	SRR18767444	Treated	Wang et al., 2081	Thiadiazole	19	7.7	ITS
SRR18767446	7.18382354955371	project2	SRR18767446	Control	Wang et al., 2041	Thiadiazole	19	7.7	ITS
SRR18767447	7.12759057887266	project2	SRR18767447	Control	Wang et al., 2040	Thiadiazole	19	7.7	ITS
SRR18767448	7.06303574713456	project2	SRR18767448	Control	Wang et al., 2039	Thiadiazole	19	7.7	ITS
SRR18767449	6.59539959069326	project2	SRR18767449	Control	Wang et al., 2038	Thiadiazole	19	7.7	ITS
SRR18767450	6.76636961402154	project2	SRR18767450	Control	Wang et al., 2029	Thiadiazole	19	7.7	ITS
SRR18767451	6.79669388690875	project2	SRR18767451	Control	Wang et al., 2037	Thiadiazole	19	7.7	ITS
SRR18767452	6.63959121580597	project2	SRR18767452	Control	Wang et al., 2036	Thiadiazole	19	7.7	ITS
SRR18767453	7.0711796276318	project2	SRR18767453	Control	Wang et al., 2035	Thiadiazole	19	7.7	ITS
SRR18767454	6.6891588073212	project2	SRR18767454	Control	Wang et al., 2034	Thiadiazole	19	7.7	ITS
SRR18767455	6.69757098173405	project2	SRR18767455	Treated	Wang et al., 2085	Thiadiazole	19	7.7	ITS
SRR18767456	7.2163377178775	project2	SRR18767456	Treated	Wang et al., 2069	Thiadiazole	19	7.7	ITS
SRR18767457	6.84579346510123	project2	SRR18767457	Treated	Wang et al., 2084	Thiadiazole	19	7.7	ITS
SRR18767458	6.89274661431983	project2	SRR18767458	Treated	Wang et al., 2068	Thiadiazole	19	7.7	ITS
SRR18767459	6.4820023751569	project2	SRR18767459	Treated	Wang et al., 2083	Thiadiazole	19	7.7	ITS
SRR18767460	6.96725865286499	project2	SRR18767460	Treated	Wang et al., 2067	Thiadiazole	19	7.7	ITS
SRR18767461	6.58806603184555	project2	SRR18767461	Control	Wang et al., 2028	Thiadiazole	19	7.7	ITS
SRR18767462	6.81579911498079	project2	SRR18767462	Treated	Wang et al., 2082	Thiadiazole	19	7.7	ITS
SRR18767463	6.77076913586369	project2	SRR18767463	Treated	Wang et al., 2066	Thiadiazole	19	7.7	ITS
SRR18767482	6.98982197908209	project2	SRR18767482	Treated	Wang et al., 2096	Thiadiazole	19	7.7	ITS
SRR18767483	7.15597458394141	project2	SRR18767483	Treated	Wang et al., 2080	Thiadiazole	19	7.7	ITS
SRR18767484	6.89547364765695	project2	SRR18767484	Treated	Wang et al., 2095	Thiadiazole	19	7.7	ITS
SRR18767485	7.12643276689337	project2	SRR18767485	Treated	Wang et al., 2079	Thiadiazole	19	7.7	ITS
SRR18767486	6.80308427205693	project2	SRR18767486	Treated	Wang et al., 2094	Thiadiazole	19	7.7	ITS
SRR18767487	6.67547812517035	project2	SRR18767487	Treated	Wang et al., 2078	Thiadiazole	19	7.7	ITS
SRR18767503	6.85141911933712	project2	SRR18767503	Control	Wang et al., 2025	Thiadiazole	19	7.7	ITS
SRR18767506	7.35647777113397	project2	SRR18767506	Control	Wang et al., 2057	Thiadiazole	19	7.7	ITS
SRR18767507	6.96514373215892	project2	SRR18767507	Control	Wang et al., 2056	Thiadiazole	19	7.7	ITS
SRR18767508	7.36415912923877	project2	SRR18767508	Control	Wang et al., 2055	Thiadiazole	19	7.7	ITS
SRR18767509	7.32949684819496	project2	SRR18767509	Control	Wang et al., 2054	Thiadiazole	19	7.7	ITS
SRR18767510	7.23108328927103	project2	SRR18767510	Control	Wang et al., 2053	Thiadiazole	19	7.7	ITS
SRR18767511	7.2589602305811	project2	SRR18767511	Control	Wang et al., 2052	Thiadiazole	19	7.7	ITS
SRR18767512	7.09529228937629	project2	SRR18767512	Control	Wang et al., 2051	Thiadiazole	19	7.7	ITS
SRR18767513	7.4033646565915	project2	SRR18767513	Control	Wang et al., 2050	Thiadiazole	19	7.7	ITS
SRR18767514	6.48958615744122	project2	SRR18767514	Control	Wang et al., 2024	Thiadiazole	19	7.7	ITS
SRR18767515	6.71272273996589	project2	SRR18767515	Control	Wang et al., 2026	Thiadiazole	19	7.7	ITS
SRR18767516	6.49831031632023	project2	SRR18767516	Control	Wang et al., 2022	Thiadiazole	19	7.7	ITS
SRR14242009	5.8992792433077	project3	SRR14242009	Treated	Ezazi et al., 2048	Benzimidazole + Dicarboximide	45	2	16S
SRR14242010	5.82022439055778	project3	SRR14242010	Control	Ezazi et al., 2033	Benzimidazole + Dicarboximide	45	2	16S
SRR14242011	5.51678943855507	project3	SRR14242011	Control	Ezazi et al., 2021	Benzimidazole + Dicarboximide	45	2	16S
SRR14242012	5.62033953106045	project3	SRR14242012	Control	Ezazi et al., 2034	Benzimidazole + Dicarboximide	45	2	16S
SRR14242013	5.05861952855396	project3	SRR14242013	Control	Ezazi et al., 2049	Benzimidazole + Dicarboximide	45	2	16S
SRR14242014	5.23863747886013	project3	SRR14242014	Control	Ezazi et al., 2035	Benzimidazole + Dicarboximide	45	2	16S
SRR14242021	4.97127192575006	project3	SRR14242021	Control	Ezazi et al., 2036	Benzimidazole + Dicarboximide	45	2	16S
SRR14242032	5.60830288090522	project3	SRR14242032	Control	Ezazi et al., 2022	Benzimidazole + Dicarboximide	45	2	16S
SRR14242035	5.09066288401394	project3	SRR14242035	Treated	Ezazi et al., 2023	Benzimidazole + Dicarboximide	45	2	16S
SRR14242036	4.81037142973604	project3	SRR14242036	Treated	Ezazi et al., 2050	Benzimidazole + Dicarboximide	45	2	16S
SRR14242037	5.32640024071538	project3	SRR14242037	Treated	Ezazi et al., 2051	Benzimidazole + Dicarboximide	45	2	16S
SRR14242038	5.12678015818783	project3	SRR14242038	Treated	Ezazi et al., 2024	Benzimidazole + Dicarboximide	45	2	16S
SRR14242039	5.62825461250265	project3	SRR14242039	Treated	Ezazi et al., 2025	Benzimidazole + Dicarboximide	45	2	16S
SRR14242040	4.9803599784802	project3	SRR14242040	Treated	Ezazi et al., 2052	Benzimidazole + Dicarboximide	45	2	16S
SRR14242041	4.89314308377658	project3	SRR14242041	Treated	Ezazi et al., 2053	Benzimidazole + Dicarboximide	45	2	16S
SRR14242042	5.9079687205786	project3	SRR14242042	Treated	Ezazi et al., 2037	Benzimidazole + Dicarboximide	45	2	16S
SRR14242043	5.92532052663617	project3	SRR14242043	Control	Ezazi et al., 2038	Benzimidazole + Dicarboximide	45	2	16S
SRR14242044	5.74160893343144	project3	SRR14242044	Control	Ezazi et al., 2026	Benzimidazole + Dicarboximide	45	2	16S
SRR14244391	3.97010069144634	project3	SRR14244391	Treated	Ezazi et al., 2039	Benzimidazole + Dicarboximide	45	2	16S
SRR14244392	3.72456759952282	project3	SRR14244392	Control	Ezazi et al., 2040	Benzimidazole + Dicarboximide	45	2	16S
SRR14244393	3.47489470641918	project3	SRR14244393	Control	Ezazi et al., 2041	Benzimidazole + Dicarboximide	45	2	16S
SRR14244394	3.02100256095202	project3	SRR14244394	Control	Ezazi et al., 2042	Benzimidazole + Dicarboximide	45	2	16S
SRR14244395	2.65019309519877	project3	SRR14244395	Control	Ezazi et al., 2027	Benzimidazole + Dicarboximide	45	2	16S
SRR14244396	2.46037075797314	project3	SRR14244396	Control	Ezazi et al., 2054	Benzimidazole + Dicarboximide	45	2	16S
SRR14244403	2.53879093251476	project3	SRR14244403	Control	Ezazi et al., 2028	Benzimidazole + Dicarboximide	45	2	16S
SRR14244414	4.12878688888993	project3	SRR14244414	Control	Ezazi et al., 2043	Benzimidazole + Dicarboximide	45	2	16S
SRR14244417	2.74663868760894	project3	SRR14244417	Treated	Ezazi et al., 2055	Benzimidazole + Dicarboximide	45	2	16S
SRR14244419	2.9801628964057	project3	SRR14244419	Treated	Ezazi et al., 2030	Benzimidazole + Dicarboximide	45	2	16S
SRR14244420	2.18284538592719	project3	SRR14244420	Treated	Ezazi et al., 2044	Benzimidazole + Dicarboximide	45	2	16S
SRR14244421	1.82227873006156	project3	SRR14244421	Treated	Ezazi et al., 2045	Benzimidazole + Dicarboximide	45	2	16S
SRR14244423	3.26627657861999	project3	SRR14244423	Treated	Ezazi et al., 2046	Benzimidazole + Dicarboximide	45	2	16S
SRR14244424	3.79336651731927	project3	SRR14244424	Treated	Ezazi et al., 2032	Benzimidazole + Dicarboximide	45	2	16S
SRR14244425	3.16564025310455	project3	SRR14244425	Control	Ezazi et al., 2056	Benzimidazole + Dicarboximide	45	2	16S
SRR14244426	3.20710774046496	project3	SRR14244426	Control	Ezazi et al., 2047	Benzimidazole + Dicarboximide	45	2	16S
SRR14244391	3.89038650116766	project3	SRR14244391	Treated	Ezazi et al., 2030	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244392	3.23825893673338	project3	SRR14244392	Control	Ezazi et al., 2029	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244393	3.40238860330524	project3	SRR14244393	Control	Ezazi et al., 2028	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244394	2.99747526521018	project3	SRR14244394	Control	Ezazi et al., 2027	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244395	2.63213973361735	project3	SRR14244395	Control	Ezazi et al., 2026	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244396	2.43990209194742	project3	SRR14244396	Control	Ezazi et al., 2025	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244403	2.51886815864756	project3	SRR14244403	Control	Ezazi et al., 2024	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244414	4.04434527144479	project3	SRR14244414	Control	Ezazi et al., 2023	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244417	2.71962033200712	project3	SRR14244417	Treated	Ezazi et al., 2038	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244418	2.73363528733499	project3	SRR14244418	Treated	Ezazi et al., 2037	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244419	2.95876662331477	project3	SRR14244419	Treated	Ezazi et al., 2036	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244420	2.1606597723645	project3	SRR14244420	Treated	Ezazi et al., 2035	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244421	1.7950240109909	project3	SRR14244421	Treated	Ezazi et al., 2034	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244423	3.24635440109219	project3	SRR14244423	Treated	Ezazi et al., 2032	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244424	3.75350391682035	project3	SRR14244424	Treated	Ezazi et al., 2031	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244425	3.1121814914411	project3	SRR14244425	Control	Ezazi et al., 2022	Benzimidazole + Dicarboximide	45	2	ITS
SRR14244426	3.17906930727709	project3	SRR14244426	Control	Ezazi et al., 2021	Benzimidazole + Dicarboximide	45	2	ITS
SRR22014440	3.20635976909193	project4	SRR22014440	Treated	Sim et al., 2103	Triazole	45	2	16S
SRR22014441	5.2068618611538	project4	SRR22014441	Treated	Sim et al., 2118	Triazole	45	2	16S
SRR22014442	4.14250089704421	project4	SRR22014442	Treated	Sim et al., 2111	Triazole	45	2	16S
SRR22014443	4.61176971566907	project4	SRR22014443	Control	Sim et al., 2073	Triazole	45	2	16S
SRR22014444	4.3100695954749	project4	SRR22014444	Control	Sim et al., 2088	Triazole	45	2	16S
SRR22014445	5.22333112599525	project4	SRR22014445	Control	Sim et al., 2081	Triazole	45	2	16S
SRR22014446	5.12554035723122	project4	SRR22014446	Control	Sim et al., 2049	Triazole	45	2	16S
SRR22014447	5.03139573039292	project4	SRR22014447	Control	Sim et al., 2064	Triazole	45	2	16S
SRR22014449	4.71340106016727	project4	SRR22014449	Control	Sim et al., 2057	Triazole	45	2	16S
SRR22014450	3.90151783164026	project4	SRR22014450	Control	Sim et al., 2025	Triazole	45	2	16S
SRR22014451	4.72333170115331	project4	SRR22014451	Control	Sim et al., 2040	Triazole	45	2	16S
SRR22014452	4.98424079122094	project4	SRR22014452	Control	Sim et al., 2033	Triazole	45	2	16S
SRR22014463	5.32839270943208	project4	SRR22014463	Control	Sim et al., 2059	Triazole	45	2	16S
SRR22014464	4.06295417967608	project4	SRR22014464	Control	Sim et al., 2061	Triazole	45	2	16S
SRR22014465	6.00563355875603	project4	SRR22014465	Control	Sim et al., 2026	Triazole	45	2	16S
SRR22014466	6.3059954399257	project4	SRR22014466	Control	Sim et al., 2035	Triazole	45	2	16S
SRR22014467	5.55984672905393	project4	SRR22014467	Control	Sim et al., 2037	Triazole	45	2	16S
SRR22014478	5.98670190140283	project4	SRR22014478	Treated	Sim et al., 2251	Triazole	45	2	16S
SRR22014480	5.37128410287686	project4	SRR22014480	Treated	Sim et al., 2247	Triazole	45	2	16S
SRR22014481	4.91667021862349	project4	SRR22014481	Treated	Sim et al., 2240	Triazole	45	2	16S
SRR22014482	4.56304329154422	project4	SRR22014482	Treated	Sim et al., 2225	Triazole	45	2	16S
SRR22014483	5.09527581261544	project4	SRR22014483	Treated	Sim et al., 2221	Triazole	45	2	16S
SRR22014484	4.66543075384906	project4	SRR22014484	Treated	Sim et al., 2214	Triazole	45	2	16S
SRR22014485	4.24821425354796	project4	SRR22014485	Treated	Sim et al., 2199	Triazole	45	2	16S
SRR22014486	5.27489110915195	project4	SRR22014486	Treated	Sim et al., 2195	Triazole	45	2	16S
SRR22014487	4.52020078377423	project4	SRR22014487	Treated	Sim et al., 2188	Triazole	45	2	16S
SRR22014488	4.20184069351376	project4	SRR22014488	Treated	Sim et al., 2173	Triazole	45	2	16S
SRR22014489	5.1172745560432	project4	SRR22014489	Treated	Sim et al., 2169	Triazole	45	2	16S
SRR22014492	4.38346499129359	project4	SRR22014492	Treated	Sim et al., 2162	Triazole	45	2	16S
SRR22014493	6.41705557452185	project4	SRR22014493	Treated	Sim et al., 2147	Triazole	45	2	16S
SRR22014494	4.93761887223693	project4	SRR22014494	Treated	Sim et al., 2143	Triazole	45	2	16S
SRR22014495	4.4940673817136	project4	SRR22014495	Treated	Sim et al., 2136	Triazole	45	2	16S
SRR22014496	4.45839467952773	project4	SRR22014496	Treated	Sim et al., 2121	Triazole	45	2	16S
SRR22014497	4.11637249772502	project4	SRR22014497	Treated	Sim et al., 2117	Triazole	45	2	16S
SRR22014498	4.28368063299491	project4	SRR22014498	Treated	Sim et al., 2110	Triazole	45	2	16S
SRR22014499	4.65761059590833	project4	SRR22014499	Control	Sim et al., 2091	Triazole	45	2	16S
SRR22014500	4.42667590911244	project4	SRR22014500	Control	Sim et al., 2087	Triazole	45	2	16S
SRR22014501	5.50866649553566	project4	SRR22014501	Control	Sim et al., 2080	Triazole	45	2	16S
SRR22014504	5.00358218482107	project4	SRR22014504	Control	Sim et al., 2063	Triazole	45	2	16S
SRR22014505	4.43063800073385	project4	SRR22014505	Control	Sim et al., 2056	Triazole	45	2	16S
SRR22014506	4.80615126084046	project4	SRR22014506	Control	Sim et al., 2043	Triazole	45	2	16S
SRR22014507	4.68679064161391	project4	SRR22014507	Control	Sim et al., 2039	Triazole	45	2	16S
SRR22014508	4.69444761535782	project4	SRR22014508	Control	Sim et al., 2032	Triazole	45	2	16S
SRR22014511	3.93959512994061	project4	SRR22014511	Treated	Sim et al., 2253	Triazole	45	2	16S
SRR22014512	4.09931549904998	project4	SRR22014512	Treated	Sim et al., 2250	Triazole	45	2	16S
SRR22014513	4.55525603440985	project4	SRR22014513	Treated	Sim et al., 2235	Triazole	45	2	16S
SRR22014514	3.42300376941659	project4	SRR22014514	Treated	Sim et al., 2227	Triazole	45	2	16S
SRR22014515	3.58551731227761	project4	SRR22014515	Treated	Sim et al., 2224	Triazole	45	2	16S
SRR22014516	4.2542732656103	project4	SRR22014516	Treated	Sim et al., 2209	Triazole	45	2	16S
SRR22014517	3.88418945473635	project4	SRR22014517	Treated	Sim et al., 2201	Triazole	45	2	16S
SRR22014518	4.01224111347787	project4	SRR22014518	Treated	Sim et al., 2198	Triazole	45	2	16S
SRR22014519	3.76407248294612	project4	SRR22014519	Treated	Sim et al., 2183	Triazole	45	2	16S
