SampleID	Shannon	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose	Type
SRR22014917	3.0481485835955	project4	SRR22014917	Treated	Sim et al., 2206	Triazole	45	2	16S
SRR22014918	4.21016612426455	project4	SRR22014918	Treated	Sim et al., 2218	Triazole	45	2	16S
SRR22014919	4.08266721086707	project4	SRR22014919	Treated	Sim et al., 2185	Triazole	45	2	16S
SRR22014921	2.95770204809977	project4	SRR22014921	Treated	Sim et al., 2180	Triazole	45	2	16S
SRR22014922	2.67578366494804	project4	SRR22014922	Treated	Sim et al., 2192	Triazole	45	2	16S
SRR22014923	3.71866430767351	project4	SRR22014923	Treated	Sim et al., 2159	Triazole	45	2	16S
SRR22014924	3.91667212693825	project4	SRR22014924	Treated	Sim et al., 2154	Triazole	45	2	16S
SRR22014925	4.57272151789296	project4	SRR22014925	Treated	Sim et al., 2167	Triazole	45	2	16S
SRR22014926	4.6032868363208	project4	SRR22014926	Treated	Sim et al., 2130	Triazole	45	2	16S
SRR22014928	4.26003483875353	project4	SRR22014928	Treated	Sim et al., 2141	Triazole	45	2	16S
SRR22014929	4.81729976421394	project4	SRR22014929	Treated	Sim et al., 2104	Triazole	45	2	16S
SRR22014930	4.69975013505291	project4	SRR22014930	Treated	Sim et al., 2113	Triazole	45	2	16S
SRR22014932	5.6564955041123	project4	SRR22014932	Treated	Sim et al., 2115	Triazole	45	2	16S
SRR22014933	5.87589673300134	project4	SRR22014933	Control	Sim et al., 2074	Triazole	45	2	16S
SRR22014934	6.48395185199479	project4	SRR22014934	Control	Sim et al., 2083	Triazole	45	2	16S
SRR22014935	5.20899859702781	project4	SRR22014935	Control	Sim et al., 2085	Triazole	45	2	16S
SRR22014936	5.8328329968305	project4	SRR22014936	Control	Sim et al., 2050	Triazole	45	2	16S
SRR22014945	4.74161377363838	project4	SRR22014945	Treated	Sim et al., 2254	Triazole	45	2	16S
SRR22014946	3.74352623184229	project4	SRR22014946	Treated	Sim et al., 2252	Triazole	45	2	16S
SRR22014947	4.20937752456987	project4	SRR22014947	Treated	Sim et al., 2239	Triazole	45	2	16S
SRR22014948	4.03419927423638	project4	SRR22014948	Treated	Sim et al., 2228	Triazole	45	2	16S
SRR22014949	4.22110766908309	project4	SRR22014949	Treated	Sim et al., 2226	Triazole	45	2	16S
SRR22014951	4.18229061218965	project4	SRR22014951	Treated	Sim et al., 2213	Triazole	45	2	16S
SRR22014952	4.27396107146436	project4	SRR22014952	Treated	Sim et al., 2202	Triazole	45	2	16S
SRR22014953	4.61143238980455	project4	SRR22014953	Treated	Sim et al., 2200	Triazole	45	2	16S
SRR22014954	4.14436916151737	project4	SRR22014954	Treated	Sim et al., 2187	Triazole	45	2	16S
SRR22014955	4.60439573556928	project4	SRR22014955	Treated	Sim et al., 2176	Triazole	45	2	16S
SRR22014956	4.50117141317331	project4	SRR22014956	Treated	Sim et al., 2174	Triazole	45	2	16S
SRR22014957	4.64080563232735	project4	SRR22014957	Treated	Sim et al., 2161	Triazole	45	2	16S
SRR22014958	5.25424674945551	project4	SRR22014958	Treated	Sim et al., 2150	Triazole	45	2	16S
SRR22014959	4.57390502639869	project4	SRR22014959	Treated	Sim et al., 2148	Triazole	45	2	16S
SRR22014960	4.46653858692233	project4	SRR22014960	Treated	Sim et al., 2135	Triazole	45	2	16S
SRR22014962	4.87341579062357	project4	SRR22014962	Treated	Sim et al., 2124	Triazole	45	2	16S
SRR22014963	5.39426866998336	project4	SRR22014963	Treated	Sim et al., 2122	Triazole	45	2	16S
SRR22014964	5.10938507877232	project4	SRR22014964	Treated	Sim et al., 2109	Triazole	45	2	16S
SRR22014965	5.38731035529954	project4	SRR22014965	Control	Sim et al., 2094	Triazole	45	2	16S
SRR22014966	4.72589972389338	project4	SRR22014966	Control	Sim et al., 2092	Triazole	45	2	16S
SRR22014967	4.37340932418207	project4	SRR22014967	Control	Sim et al., 2079	Triazole	45	2	16S
SRR22014968	4.62540503324018	project4	SRR22014968	Control	Sim et al., 2070	Triazole	45	2	16S
SRR22014969	5.08198539722467	project4	SRR22014969	Control	Sim et al., 2068	Triazole	45	2	16S
SRR22014970	3.46377449945398	project4	SRR22014970	Control	Sim et al., 2055	Triazole	45	2	16S
SRR22014971	3.57700309675425	project4	SRR22014971	Control	Sim et al., 2046	Triazole	45	2	16S
SRR22014973	4.06362026836602	project4	SRR22014973	Control	Sim et al., 2044	Triazole	45	2	16S
SRR22014974	4.71629359997339	project4	SRR22014974	Control	Sim et al., 2031	Triazole	45	2	16S
SRR22015245	4.58659455580191	project4	SRR22015245	Treated	Sim et al., 2127	Triazole	45	2	16S
SRR22015246	5.1874009732128	project4	SRR22015246	Treated	Sim et al., 2119	Triazole	45	2	16S
SRR22015247	5.05678011026267	project4	SRR22015247	Treated	Sim et al., 2106	Triazole	45	2	16S
SRR22015248	3.65138036025807	project4	SRR22015248	Treated	Sim et al., 2101	Triazole	45	2	16S
SRR22015249	3.97409115804662	project4	SRR22015249	Control	Sim et al., 2089	Triazole	45	2	16S
SRR22015261	3.83658904762444	project4	SRR22015261	Treated	Sim et al., 2233	Triazole	45	2	16S
SRR22015262	4.12099905367858	project4	SRR22015262	Treated	Sim et al., 2248	Triazole	45	2	16S
SRR22015263	4.50358776422261	project4	SRR22015263	Treated	Sim et al., 2241	Triazole	45	2	16S
SRR22015264	4.21857571670319	project4	SRR22015264	Treated	Sim et al., 2207	Triazole	45	2	16S
SRR22015265	4.23176810191647	project4	SRR22015265	Treated	Sim et al., 2222	Triazole	45	2	16S
SRR22015266	4.87327703957361	project4	SRR22015266	Treated	Sim et al., 2215	Triazole	45	2	16S
SRR22015267	4.25684940092724	project4	SRR22015267	Treated	Sim et al., 2181	Triazole	45	2	16S
SRR22015269	4.8412524342104	project4	SRR22015269	Treated	Sim et al., 2196	Triazole	45	2	16S
SRR22015270	5.02183223851906	project4	SRR22015270	Treated	Sim et al., 2189	Triazole	45	2	16S
SRR22015271	4.45653324371278	project4	SRR22015271	Treated	Sim et al., 2155	Triazole	45	2	16S
SRR22015272	4.15019666812111	project4	SRR22015272	Treated	Sim et al., 2170	Triazole	45	2	16S
SRR22015273	4.03311799547053	project4	SRR22015273	Treated	Sim et al., 2163	Triazole	45	2	16S
SRR22015417	4.2091465626094	project4	SRR22015417	Treated	Sim et al., 2166	Triazole	45	2	16S
SRR22015418	4.51027137915846	project4	SRR22015418	Treated	Sim et al., 2133	Triazole	45	2	16S
SRR22015419	5.08661857405868	project4	SRR22015419	Control	Sim et al., 2097	Triazole	45	2	16S
SRR22015420	4.72366352231893	project4	SRR22015420	Control	Sim et al., 2095	Triazole	45	2	16S
SRR22015425	4.16273363307122	project4	SRR22015425	Treated	Sim et al., 2256	Triazole	45	2	16S
SRR22015426	4.70002755198117	project4	SRR22015426	Treated	Sim et al., 2230	Triazole	45	2	16S
SRR22015427	4.65089218179428	project4	SRR22015427	Treated	Sim et al., 2204	Triazole	45	2	16S
SRR22015428	5.91457128728276	project4	SRR22015428	Treated	Sim et al., 2178	Triazole	45	2	16S
SRR22015429	4.91538675410782	project4	SRR22015429	Treated	Sim et al., 2152	Triazole	45	2	16S
SRR22015430	5.37274190933668	project4	SRR22015430	Treated	Sim et al., 2126	Triazole	45	2	16S
SRR22015431	5.31895557451446	project4	SRR22015431	Control	Sim et al., 2100	Triazole	45	2	16S
SRR22015433	4.64687234043846	project4	SRR22015433	Control	Sim et al., 2098	Triazole	45	2	16S
SRR22015434	4.19793065008086	project4	SRR22015434	Control	Sim et al., 2096	Triazole	45	2	16S
SRR22015602	3.16590176700362	project4	SRR22015602	Control	Sim et al., 2071	Triazole	45	2	16S
SRR22015603	2.9940358247892	project4	SRR22015603	Control	Sim et al., 2065	Triazole	45	2	16S
SRR22015604	3.92293361366275	project4	SRR22015604	Control	Sim et al., 2052	Triazole	45	2	16S
SRR22015605	3.19396684961287	project4	SRR22015605	Control	Sim et al., 2047	Triazole	45	2	16S
SRR22015606	4.10823281720558	project4	SRR22015606	Control	Sim et al., 2041	Triazole	45	2	16S
SRR22015607	3.23088744141581	project4	SRR22015607	Control	Sim et al., 2028	Triazole	45	2	16S
SRR22015608	3.49789101745345	project4	SRR22015608	Control	Sim et al., 2023	Triazole	45	2	16S
SRR22015619	4.57099099155383	project4	SRR22015619	Treated	Sim et al., 2238	Triazole	45	2	16S
SRR22015620	4.34197538827227	project4	SRR22015620	Treated	Sim et al., 2242	Triazole	45	2	16S
SRR22015621	4.24432312053916	project4	SRR22015621	Treated	Sim et al., 2246	Triazole	45	2	16S
SRR22015623	4.30640655812793	project4	SRR22015623	Treated	Sim et al., 2212	Triazole	45	2	16S
SRR22015624	4.77799940735948	project4	SRR22015624	Treated	Sim et al., 2216	Triazole	45	2	16S
SRR22015625	4.43740560824159	project4	SRR22015625	Treated	Sim et al., 2144	Triazole	45	2	16S
SRR22015626	4.64779871839535	project4	SRR22015626	Treated	Sim et al., 2137	Triazole	45	2	16S
SRR22015698	3.66980148107034	project4	SRR22015698	Treated	Sim et al., 2234	Triazole	45	2	16S
SRR22015699	4.12540233736308	project4	SRR22015699	Treated	Sim et al., 2243	Triazole	45	2	16S
SRR22015700	4.28677541771475	project4	SRR22015700	Treated	Sim et al., 2245	Triazole	45	2	16S
SRR22015702	4.8722631456917	project4	SRR22015702	Treated	Sim et al., 2208	Triazole	45	2	16S
SRR22015703	3.9336636603555	project4	SRR22015703	Treated	Sim et al., 2217	Triazole	45	2	16S
SRR22015704	3.93732159275655	project4	SRR22015704	Treated	Sim et al., 2219	Triazole	45	2	16S
SRR22015705	4.62874386192221	project4	SRR22015705	Treated	Sim et al., 2182	Triazole	45	2	16S
SRR22015706	4.84551381733938	project4	SRR22015706	Treated	Sim et al., 2191	Triazole	45	2	16S
SRR22015707	3.61640836934766	project4	SRR22015707	Treated	Sim et al., 2193	Triazole	45	2	16S
SRR22015708	4.34442486658206	project4	SRR22015708	Treated	Sim et al., 2156	Triazole	45	2	16S
SRR22015709	4.10258863843908	project4	SRR22015709	Treated	Sim et al., 2165	Triazole	45	2	16S
SRR22015714	3.80534754046752	project4	SRR22015714	Treated	Sim et al., 2255	Triazole	45	2	16S
SRR22015715	4.48329627447336	project4	SRR22015715	Treated	Sim et al., 2229	Triazole	45	2	16S
SRR22015716	4.19982295894344	project4	SRR22015716	Treated	Sim et al., 2203	Triazole	45	2	16S
SRR22015717	4.68606411535657	project4	SRR22015717	Treated	Sim et al., 2177	Triazole	45	2	16S
SRR22015718	5.26690849872484	project4	SRR22015718	Treated	Sim et al., 2151	Triazole	45	2	16S
SRR22015719	5.50800562250516	project4	SRR22015719	Treated	Sim et al., 2125	Triazole	45	2	16S
SRR22015720	4.27283799494373	project4	SRR22015720	Control	Sim et al., 2099	Triazole	45	2	16S
SRR22015724	5.81269368828785	project4	SRR22015724	Treated	Sim et al., 2249	Triazole	45	2	16S
SRR22015725	4.63281779636669	project4	SRR22015725	Treated	Sim et al., 2236	Triazole	45	2	16S
SRR22015726	4.0231002437478	project4	SRR22015726	Treated	Sim et al., 2231	Triazole	45	2	16S
SRR22015727	4.13926370625764	project4	SRR22015727	Treated	Sim et al., 2223	Triazole	45	2	16S
SRR22015728	3.72228196470796	project4	SRR22015728	Treated	Sim et al., 2210	Triazole	45	2	16S
SRR22015729	4.11644470775173	project4	SRR22015729	Treated	Sim et al., 2205	Triazole	45	2	16S
SRR22015730	3.98002769357249	project4	SRR22015730	Treated	Sim et al., 2197	Triazole	45	2	16S
SRR22015731	3.7660572485966	project4	SRR22015731	Treated	Sim et al., 2184	Triazole	45	2	16S
SRR22015732	4.83096670905672	project4	SRR22015732	Treated	Sim et al., 2179	Triazole	45	2	16S
SRR22015734	3.94135563519999	project4	SRR22015734	Treated	Sim et al., 2171	Triazole	45	2	16S
SRR22015735	4.67896333828031	project4	SRR22015735	Treated	Sim et al., 2158	Triazole	45	2	16S
SRR22015736	3.82083191298417	project4	SRR22015736	Treated	Sim et al., 2153	Triazole	45	2	16S
SRR22015737	4.15597461576328	project4	SRR22015737	Treated	Sim et al., 2145	Triazole	45	2	16S
SRR22015738	4.51195641031693	project4	SRR22015738	Treated	Sim et al., 2132	Triazole	45	2	16S
SRR22015850	3.66931233761073	project4	SRR22015850	Treated	Sim et al., 2128	Triazole	45	2	16S
SRR22015851	3.68666565830118	project4	SRR22015851	Treated	Sim et al., 2140	Triazole	45	2	16S
SRR22015852	4.28209163351127	project4	SRR22015852	Treated	Sim et al., 2107	Triazole	45	2	16S
SRR22015853	4.65295956005125	project4	SRR22015853	Treated	Sim et al., 2102	Triazole	45	2	16S
SRR22015854	4.41872941967306	project4	SRR22015854	Treated	Sim et al., 2114	Triazole	45	2	16S
SRR22015855	4.68848647902157	project4	SRR22015855	Control	Sim et al., 2077	Triazole	45	2	16S
SRR22015857	3.33613123088786	project4	SRR22015857	Control	Sim et al., 2072	Triazole	45	2	16S
SRR22015858	2.98200777766773	project4	SRR22015858	Control	Sim et al., 2084	Triazole	45	2	16S
SRR22015859	3.83609751507615	project4	SRR22015859	Control	Sim et al., 2053	Triazole	45	2	16S
SRR22015860	4.33625163732751	project4	SRR22015860	Control	Sim et al., 2048	Triazole	45	2	16S
SRR22015861	4.78238115909934	project4	SRR22015861	Control	Sim et al., 2060	Triazole	45	2	16S
SRR22015863	4.12260237048261	project4	SRR22015863	Control	Sim et al., 2024	Triazole	45	2	16S
SRR22015864	5.03666191945049	project4	SRR22015864	Control	Sim et al., 2036	Triazole	45	2	16S
SRR22015874	4.68675994065601	project4	SRR22015874	Treated	Sim et al., 2220	Triazole	45	2	16S
SRR22015875	4.89711923664058	project4	SRR22015875	Treated	Sim et al., 2186	Triazole	45	2	16S
SRR22015876	4.32712390613719	project4	SRR22015876	Treated	Sim et al., 2190	Triazole	45	2	16S
SRR22015877	3.90985864575528	project4	SRR22015877	Treated	Sim et al., 2194	Triazole	45	2	16S
SRR22015878	4.24749098303289	project4	SRR22015878	Treated	Sim et al., 2160	Triazole	45	2	16S
SRR22015879	4.96911682932747	project4	SRR22015879	Treated	Sim et al., 2164	Triazole	45	2	16S
SRR22015880	3.87430088358637	project4	SRR22015880	Treated	Sim et al., 2168	Triazole	45	2	16S
SRR22015881	3.16448727269683	project4	SRR22015881	Treated	Sim et al., 2134	Triazole	45	2	16S
SRR22015883	3.84043665941459	project4	SRR22015883	Treated	Sim et al., 2138	Triazole	45	2	16S
SRR22015884	4.49621883958532	project4	SRR22015884	Treated	Sim et al., 2142	Triazole	45	2	16S
SRR22015885	4.1659703531162	project4	SRR22015885	Treated	Sim et al., 2108	Triazole	45	2	16S
SRR22015886	4.75443250237348	project4	SRR22015886	Treated	Sim et al., 2112	Triazole	45	2	16S
SRR22015887	4.14105784686218	project4	SRR22015887	Treated	Sim et al., 2116	Triazole	45	2	16S
SRR22015888	4.20050267502603	project4	SRR22015888	Control	Sim et al., 2078	Triazole	45	2	16S
SRR22015889	4.65210227756145	project4	SRR22015889	Control	Sim et al., 2082	Triazole	45	2	16S
SRR22015890	3.8559858601958	project4	SRR22015890	Control	Sim et al., 2086	Triazole	45	2	16S
SRR22015891	3.22398092012737	project4	SRR22015891	Control	Sim et al., 2054	Triazole	45	2	16S
SRR22015892	3.53056211669092	project4	SRR22015892	Control	Sim et al., 2058	Triazole	45	2	16S
SRR22015894	3.0943568968518	project4	SRR22015894	Control	Sim et al., 2062	Triazole	45	2	16S
SRR22015895	3.52974402976549	project4	SRR22015895	Control	Sim et al., 2030	Triazole	45	2	16S
SRR22015896	3.98234846886024	project4	SRR22015896	Control	Sim et al., 2034	Triazole	45	2	16S
SRR22015897	4.04247764507851	project4	SRR22015897	Control	Sim et al., 2038	Triazole	45	2	16S
SRR22014343	4.95333260285032	project4	SRR22014343	Treated	Sim et al., 2111	Triazole	45	2	ITS
SRR22014344	4.48767875460862	project4	SRR22014344	Control	Sim et al., 2073	Triazole	45	2	ITS
SRR22014345	4.7689853139211	project4	SRR22014345	Control	Sim et al., 2088	Triazole	45	2	ITS
SRR22014346	4.97943820162073	project4	SRR22014346	Control	Sim et al., 2081	Triazole	45	2	ITS
SRR22014347	4.71073550363098	project4	SRR22014347	Control	Sim et al., 2049	Triazole	45	2	ITS
SRR22014348	4.48139259527379	project4	SRR22014348	Control	Sim et al., 2064	Triazole	45	2	ITS
SRR22014349	4.27037978392012	project4	SRR22014349	Control	Sim et al., 2057	Triazole	45	2	ITS
SRR22014350	4.87827814038412	project4	SRR22014350	Control	Sim et al., 2025	Triazole	45	2	ITS
SRR22014351	5.22425790651488	project4	SRR22014351	Control	Sim et al., 2040	Triazole	45	2	ITS
SRR22014352	4.65627050971752	project4	SRR22014352	Control	Sim et al., 2033	Triazole	45	2	ITS
SRR22014363	4.5169500669719	project4	SRR22014363	Treated	Sim et al., 2237	Triazole	45	2	ITS
SRR22014365	4.72742892495132	project4	SRR22014365	Treated	Sim et al., 2232	Triazole	45	2	ITS
SRR22014366	3.75480670592668	project4	SRR22014366	Treated	Sim et al., 2244	Triazole	45	2	ITS
SRR22014367	3.6899263045023	project4	SRR22014367	Treated	Sim et al., 2211	Triazole	45	2	ITS
SRR22014368	4.2771534552318	project4	SRR22014368	Treated	Sim et al., 2206	Triazole	45	2	ITS
SRR22014369	4.24687260429203	project4	SRR22014369	Treated	Sim et al., 2218	Triazole	45	2	ITS
SRR22014370	4.53574999929931	project4	SRR22014370	Treated	Sim et al., 2185	Triazole	45	2	ITS
SRR22014371	4.41543071831383	project4	SRR22014371	Treated	Sim et al., 2180	Triazole	45	2	ITS
SRR22014372	4.24396003493077	project4	SRR22014372	Treated	Sim et al., 2192	Triazole	45	2	ITS
SRR22014373	3.97187324897316	project4	SRR22014373	Treated	Sim et al., 2159	Triazole	45	2	ITS
SRR22014374	4.05546646099135	project4	SRR22014374	Treated	Sim et al., 2154	Triazole	45	2	ITS
SRR22014376	4.03523228439955	project4	SRR22014376	Treated	Sim et al., 2167	Triazole	45	2	ITS
SRR22014377	4.70660634493213	project4	SRR22014377	Treated	Sim et al., 2130	Triazole	45	2	ITS
SRR22014378	4.12059252135814	project4	SRR22014378	Treated	Sim et al., 2139	Triazole	45	2	ITS
SRR22014379	4.07503044536413	project4	SRR22014379	Treated	Sim et al., 2141	Triazole	45	2	ITS
SRR22014380	4.71568295643395	project4	SRR22014380	Treated	Sim et al., 2104	Triazole	45	2	ITS
SRR22014381	4.53153070829932	project4	SRR22014381	Treated	Sim et al., 2113	Triazole	45	2	ITS
SRR22014382	4.52440612285563	project4	SRR22014382	Treated	Sim et al., 2115	Triazole	45	2	ITS
SRR22014383	5.06794121428416	project4	SRR22014383	Control	Sim et al., 2074	Triazole	45	2	ITS
SRR22014384	3.77996740106189	project4	SRR22014384	Control	Sim et al., 2083	Triazole	45	2	ITS
SRR22014385	4.43328574305646	project4	SRR22014385	Control	Sim et al., 2085	Triazole	45	2	ITS
SRR22014387	4.69391267314848	project4	SRR22014387	Control	Sim et al., 2050	Triazole	45	2	ITS
SRR22014388	3.73997921804178	project4	SRR22014388	Control	Sim et al., 2059	Triazole	45	2	ITS
SRR22014389	3.72393540631902	project4	SRR22014389	Control	Sim et al., 2061	Triazole	45	2	ITS
SRR22014390	4.1745949731795	project4	SRR22014390	Control	Sim et al., 2026	Triazole	45	2	ITS
SRR22014396	3.83745327477123	project4	SRR22014396	Treated	Sim et al., 2254	Triazole	45	2	ITS
SRR22014397	3.74948554125563	project4	SRR22014397	Treated	Sim et al., 2252	Triazole	45	2	ITS
SRR22014398	3.58356947902509	project4	SRR22014398	Treated	Sim et al., 2239	Triazole	45	2	ITS
SRR22014399	2.91343488969588	project4	SRR22014399	Treated	Sim et al., 2228	Triazole	45	2	ITS
SRR22014400	4.81257244031375	project4	SRR22014400	Treated	Sim et al., 2226	Triazole	45	2	ITS
SRR22014401	4.52329583303299	project4	SRR22014401	Treated	Sim et al., 2213	Triazole	45	2	ITS
SRR22014402	4.53901965019936	project4	SRR22014402	Treated	Sim et al., 2202	Triazole	45	2	ITS
SRR22014403	4.00462279438647	project4	SRR22014403	Treated	Sim et al., 2200	Triazole	45	2	ITS
SRR22014404	4.2264362418639	project4	SRR22014404	Treated	Sim et al., 2187	Triazole	45	2	ITS
SRR22014406	3.66227567236135	project4	SRR22014406	Treated	Sim et al., 2176	Triazole	45	2	ITS
SRR22014407	3.71062077006657	project4	SRR22014407	Treated	Sim et al., 2174	Triazole	45	2	ITS
SRR22014408	3.43851460330796	project4	SRR22014408	Treated	Sim et al., 2161	Triazole	45	2	ITS
SRR22014409	3.93704395908166	project4	SRR22014409	Treated	Sim et al., 2150	Triazole	45	2	ITS
SRR22014410	4.42107098072811	project4	SRR22014410	Treated	Sim et al., 2148	Triazole	45	2	ITS
SRR22014411	3.91434134399438	project4	SRR22014411	Treated	Sim et al., 2135	Triazole	45	2	ITS
SRR22014412	3.93193277303306	project4	SRR22014412	Treated	Sim et al., 2124	Triazole	45	2	ITS
SRR22014414	1.00273995439735	project4	SRR22014414	Treated	Sim et al., 2109	Triazole	45	2	ITS
SRR22014680	3.58481879469057	project4	SRR22014680	Control	Sim et al., 2094	Triazole	45	2	ITS
SRR22014682	2.33068075718588	project4	SRR22014682	Control	Sim et al., 2092	Triazole	45	2	ITS
SRR22014683	2.47003646398882	project4	SRR22014683	Control	Sim et al., 2079	Triazole	45	2	ITS
SRR22014684	3.46298845105104	project4	SRR22014684	Control	Sim et al., 2070	Triazole	45	2	ITS
SRR22014685	4.17684346019747	project4	SRR22014685	Control	Sim et al., 2068	Triazole	45	2	ITS
SRR22014686	4.58550126430966	project4	SRR22014686	Control	Sim et al., 2055	Triazole	45	2	ITS
SRR22014687	4.11347375906508	project4	SRR22014687	Control	Sim et al., 2046	Triazole	45	2	ITS
SRR22014688	4.51119143111935	project4	SRR22014688	Control	Sim et al., 2044	Triazole	45	2	ITS
SRR22014689	4.34384179190615	project4	SRR22014689	Control	Sim et al., 2031	Triazole	45	2	ITS
SRR22014700	4.14129948731088	project4	SRR22014700	Treated	Sim et al., 2253	Triazole	45	2	ITS
SRR22014701	4.55799526946903	project4	SRR22014701	Treated	Sim et al., 2250	Triazole	45	2	ITS
SRR22014702	4.17473628627138	project4	SRR22014702	Treated	Sim et al., 2235	Triazole	45	2	ITS
SRR22014841	4.57712666343898	project4	SRR22014841	Control	Sim et al., 2035	Triazole	45	2	ITS
SRR22014842	4.42399361806522	project4	SRR22014842	Control	Sim et al., 2037	Triazole	45	2	ITS
SRR22014854	4.42837029801638	project4	SRR22014854	Treated	Sim et al., 2251	Triazole	45	2	ITS
SRR22014855	4.29156240395698	project4	SRR22014855	Treated	Sim et al., 2247	Triazole	45	2	ITS
SRR22014856	4.58415303260782	project4	SRR22014856	Treated	Sim et al., 2240	Triazole	45	2	ITS
SRR22014857	3.36303708203718	project4	SRR22014857	Treated	Sim et al., 2225	Triazole	45	2	ITS
SRR22014858	4.24827927167738	project4	SRR22014858	Treated	Sim et al., 2221	Triazole	45	2	ITS
SRR22014860	3.50537780261857	project4	SRR22014860	Treated	Sim et al., 2214	Triazole	45	2	ITS
SRR22014861	3.11182517248782	project4	SRR22014861	Treated	Sim et al., 2199	Triazole	45	2	ITS
SRR22014862	3.49099434878648	project4	SRR22014862	Treated	Sim et al., 2195	Triazole	45	2	ITS
SRR22014863	3.53686748099894	project4	SRR22014863	Treated	Sim et al., 2188	Triazole	45	2	ITS
SRR22014864	3.95852264791406	project4	SRR22014864	Treated	Sim et al., 2173	Triazole	45	2	ITS
SRR22014865	3.79708665189156	project4	SRR22014865	Treated	Sim et al., 2227	Triazole	45	2	ITS
SRR22014866	4.18354371472997	project4	SRR22014866	Treated	Sim et al., 2224	Triazole	45	2	ITS
SRR22014867	4.40688107644253	project4	SRR22014867	Treated	Sim et al., 2209	Triazole	45	2	ITS
SRR22014868	3.74302438933539	project4	SRR22014868	Treated	Sim et al., 2201	Triazole	45	2	ITS
SRR22014869	4.14967342815366	project4	SRR22014869	Treated	Sim et al., 2198	Triazole	45	2	ITS
SRR22014870	3.50964607352959	project4	SRR22014870	Treated	Sim et al., 2183	Triazole	45	2	ITS
SRR22014871	4.19428908956198	project4	SRR22014871	Treated	Sim et al., 2175	Triazole	45	2	ITS
SRR22014872	3.16211515521741	project4	SRR22014872	Treated	Sim et al., 2172	Triazole	45	2	ITS
SRR22014873	2.95515833636299	project4	SRR22014873	Treated	Sim et al., 2157	Triazole	45	2	ITS
SRR22014874	3.69071505807673	project4	SRR22014874	Treated	Sim et al., 2149	Triazole	45	2	ITS
SRR22014876	4.12203030525366	project4	SRR22014876	Treated	Sim et al., 2146	Triazole	45	2	ITS
SRR22014877	4.37287152658714	project4	SRR22014877	Treated	Sim et al., 2131	Triazole	45	2	ITS
SRR22014878	4.15347258519413	project4	SRR22014878	Treated	Sim et al., 2123	Triazole	45	2	ITS
SRR22014879	4.28154160344286	project4	SRR22014879	Treated	Sim et al., 2120	Triazole	45	2	ITS
SRR22014880	4.62431301493095	project4	SRR22014880	Treated	Sim et al., 2105	Triazole	45	2	ITS
SRR22014881	4.94438392250494	project4	SRR22014881	Control	Sim et al., 2093	Triazole	45	2	ITS
SRR22014882	4.64272748905773	project4	SRR22014882	Control	Sim et al., 2090	Triazole	45	2	ITS
SRR22014883	0	project4	SRR22014883	Control	Sim et al., 2075	Triazole	45	2	ITS
SRR22014884	2.54482295809731	project4	SRR22014884	Control	Sim et al., 2069	Triazole	45	2	ITS
SRR22014885	3.4144657458148	project4	SRR22014885	Control	Sim et al., 2066	Triazole	45	2	ITS
SRR22014888	3.66802817069527	project4	SRR22014888	Control	Sim et al., 2051	Triazole	45	2	ITS
SRR22014889	4.36441146781044	project4	SRR22014889	Control	Sim et al., 2045	Triazole	45	2	ITS
SRR22014890	3.62755258162607	project4	SRR22014890	Control	Sim et al., 2042	Triazole	45	2	ITS
SRR22014891	4.18193023991721	project4	SRR22014891	Control	Sim et al., 2027	Triazole	45	2	ITS
SRR22015054	4.30817116301543	project4	SRR22015054	Treated	Sim et al., 2103	Triazole	45	2	ITS
SRR22015055	5.02059229608029	project4	SRR22015055	Treated	Sim et al., 2118	Triazole	45	2	ITS
SRR22015057	3.32195325078713	project4	SRR22015057	Treated	Sim et al., 2169	Triazole	45	2	ITS
SRR22015058	3.54499278498859	project4	SRR22015058	Treated	Sim et al., 2162	Triazole	45	2	ITS
SRR22015059	3.48345439889227	project4	SRR22015059	Treated	Sim et al., 2147	Triazole	45	2	ITS
SRR22015060	4.20062374273019	project4	SRR22015060	Treated	Sim et al., 2143	Triazole	45	2	ITS
SRR22015061	4.09173373506926	project4	SRR22015061	Treated	Sim et al., 2136	Triazole	45	2	ITS
SRR22015063	4.48814220747598	project4	SRR22015063	Treated	Sim et al., 2121	Triazole	45	2	ITS
SRR22015064	3.66306127833505	project4	SRR22015064	Treated	Sim et al., 2117	Triazole	45	2	ITS
SRR22015065	3.93982828213209	project4	SRR22015065	Treated	Sim et al., 2110	Triazole	45	2	ITS
SRR22015066	4.35141881902124	project4	SRR22015066	Control	Sim et al., 2091	Triazole	45	2	ITS
SRR22015068	4.17299451134855	project4	SRR22015068	Control	Sim et al., 2080	Triazole	45	2	ITS
SRR22015069	4.0874230605017	project4	SRR22015069	Control	Sim et al., 2067	Triazole	45	2	ITS
SRR22015070	4.0987257289488	project4	SRR22015070	Control	Sim et al., 2063	Triazole	45	2	ITS
SRR22015071	4.02231981532668	project4	SRR22015071	Control	Sim et al., 2056	Triazole	45	2	ITS
SRR22015072	4.16126295932119	project4	SRR22015072	Control	Sim et al., 2043	Triazole	45	2	ITS
SRR22015074	3.71342774040259	project4	SRR22015074	Control	Sim et al., 2039	Triazole	45	2	ITS
SRR22015075	3.27485226291924	project4	SRR22015075	Control	Sim et al., 2032	Triazole	45	2	ITS
